Cand_gene	GO_CC	GO_CC_pvalue	GO_MF	GO_MF_pvalue	GO_BP	GO_BP_pvalue	HPO	HPO_pvalue	MPO	MPO_pvalue	Pubmed	Pubmed_pvalue	Pathway	Pathway_pvalue	Overall_pvalue
287	0.997586538241655	0.008	0.781770601804795	0.04	0.9998312281226	0.006	0	0.134	0.995581667870174	0.044	0.993962464184846	0.04	NA	NA	2.2307772516772e-05
1260	0.685475495231801	0.124	0.999694673707931	0.004	0.987424416063084	0.026	NA	NA	0.998978549824295	0.034	0	0.882	NA	NA	0.00102167718130175
9459	0.27171290961541	0.4	0.0627912820809798	0.344	0.363248563807695	0.2	0.940004868639725	0.036	0.998266167940176	0.042	1	0.004	0	0.114	0.00121374289263321
50814	0.312196896419658	0.31	0	0.584	0.283137699934058	0.26	0.999767719393227	0.006	0.985921751401684	0.056	0	0.882	0	0.114	0.02103603013785
26121	0.13628347548773	0.436	0.0627912820809798	0.344	0.0263690320368317	0.558	0.959130974529331	0.032	0	0.34	0.918355389280752	0.084	NA	NA	0.0895767995759079
644538	0.619903147934193	0.154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.154
6434	0.280783594030731	0.364	0.0627912820809798	0.344	0.301935818703077	0.236	NA	NA	0	0.34	0.745245895459489	0.14	NA	NA	0.216323788111458
23148	0	0.662	NA	NA	0.418130539348885	0.18	NA	NA	0.356042660098497	0.176	0.457396274912647	0.27	NA	NA	0.24145927879939
4807	0	0.662	0.0627912820809798	0.344	0.304949705146766	0.22	NA	NA	0.984333102463416	0.058	0	0.882	NA	NA	0.289551174713742
23269	0.13628347548773	0.436	0.0627912820809798	0.344	0.0263690320368317	0.558	NA	NA	0	0.34	0.542025994045438	0.214	NA	NA	0.422917168106288
51136	0.619903147934193	0.154	0	0.584	NA	NA	NA	NA	NA	NA	0	0.882	NA	NA	0.535065612959155
85379	NA	NA	NA	NA	NA	NA	NA	NA	0	0.34	0	0.882	NA	NA	0.661047340558061
65065	0	0.662	0	0.584	NA	NA	NA	NA	NA	NA	0	0.882	NA	NA	0.90521996797487
100133046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
347442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
