Cand_gene	GO_CC	GO_CC_pvalue	GO_MF	GO_MF_pvalue	GO_BP	GO_BP_pvalue	HPO	HPO_pvalue	MPO	MPO_pvalue	Pubmed	Pubmed_pvalue	Pathway	Pathway_pvalue	Overall_pvalue
287	0.999594220802921	0.008	0.786537015846774	0.06	0.999999998987637	0.004	0.505909518404366	0.13	0.999936191568516	0.042	0.993962464184846	0.036	NA	NA	1.93499301963662e-05
1260	0.974265446998206	0.044	0.999982516199744	0.01	0.99914922639846	0.054	NA	NA	0.99972401957839	0.05	0	0.952	NA	NA	0.00226291881021001
9459	0.36522692976284	0.548	0.0834088767829053	0.538	0.957548877145094	0.216	0.950895118817797	0.078	0.99898023421598	0.06	1	0.002	0	0.242	0.00471010264475269
50814	0.746327862133972	0.212	0.394582716620511	0.316	0.907570807473163	0.276	0.999999976644926	0.006	0.996732785038187	0.078	0	0.952	0	0.242	0.0240469854731418
26121	0.753408658241444	0.208	0.0832206463461149	0.572	0.812137851610931	0.354	0.998558668992556	0.048	0.282951138419481	0.272	0.918355389280752	0.09	0	0.242	0.0659416556201307
6434	0.589906572947493	0.406	0.0832440877593101	0.556	0.819956950092549	0.35	NA	NA	0.574500057054521	0.21	0.745245895459489	0.136	0	0.242	0.240041955243622
23148	0.403800753385115	0.538	NA	NA	0.926222445569598	0.254	NA	NA	0.53943118647578	0.214	0.457396274912647	0.252	NA	NA	0.277826057210379
23269	0.768930616113772	0.2	0.0843669527972233	0.514	0.617385666727412	0.494	NA	NA	0.343437789350642	0.254	0.542025994045438	0.194	NA	NA	0.286329063552584
4807	0.257776716104365	0.622	0.0837268170572319	0.526	0.834740559609706	0.338	NA	NA	0.99851162314165	0.064	0	0.952	NA	NA	0.440486077632276
85379	NA	NA	NA	NA	NA	NA	NA	NA	0	0.342	0	0.952	NA	NA	0.690933132200937
51136	0.658925924804431	0.366	0.173484143086499	0.42	NA	NA	NA	NA	NA	NA	0	0.952	NA	NA	0.697828409548734
644538	0.658925924804431	0.366	NA	NA	NA	NA	NA	NA	NA	NA	0	0.952	NA	NA	0.715788104906478
65065	0.112999539794667	0.662	0.0217975277475909	0.608	NA	NA	NA	NA	NA	NA	0	0.952	NA	NA	0.92703754521749
347442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.952	NA	NA	0.952
100133046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
