Cand_gene	GO_CC	GO_CC_pvalue	GO_MF	GO_MF_pvalue	GO_BP	GO_BP_pvalue	HPO	HPO_pvalue	MPO	MPO_pvalue	Pubmed	Pubmed_pvalue	Pathway	Pathway_pvalue	Overall_pvalue
7273	0.999330386571496	0.022	0.999766780546157	0.012	0.999999735316069	0.024	0.999999998320425	0.004	1	0.002	0.999999999999137	0.004	0	0.242	6.95643260772982e-08
3508	0.993524222342955	0.062	1	0.002	0.999497230133494	0.11	0.999999999999766	0.004	1	0.002	1	0.004	NA	NA	8.17121997842563e-08
23111	0.992808648248438	0.064	0.881223167546457	0.162	0.998802096316283	0.138	0.999999999997521	0.004	0.999439116705711	0.058	0.9999248651781	0.01	NA	NA	0.000103375660273852
23025	0.964988710750724	0.14	0.214110915172431	0.576	0.999974857446324	0.052	0.999999990173638	0.006	0.998323381522336	0.07	1	0.004	NA	NA	0.000182397750010166
3475	0.525712048759774	0.56	NA	NA	0.971983882820871	0.362	NA	NA	0.998305109767755	0.07	1	0.004	NA	NA	0.0121648542838516
9150	0.934314794955805	0.174	0.847202489176707	0.178	0.999101692711655	0.128	0.999999999982474	0.004	NA	NA	0	0.954	NA	NA	0.014127569917228
6305	0.533896525435624	0.538	0.950669358352175	0.11	0.685151436732384	0.556	0.999968431171407	0.018	0.507839154951542	0.276	0.997701509029397	0.026	NA	NA	0.0161189436395777
51168	0.985907014662133	0.086	0.999536037042954	0.022	0.703994227025323	0.552	0.0144042152226916	0.134	0.999874516781672	0.044	0	0.954	NA	NA	0.0197763982335292
84464	0.69191077946731	0.408	0.788095919552189	0.214	0.998792908459971	0.138	0.99989286747967	0.022	0.996079350962228	0.078	0	0.954	NA	NA	0.04142296031144
883	0.665897814468907	0.42	0.895739925174585	0.146	0.999313802326188	0.116	NA	NA	NA	NA	0.950258141235765	0.082	0	0.242	0.0596683023224358
94137	0.988109209523641	0.076	NA	NA	0.99229287317133	0.238	0.288647218398848	0.124	0.865706927835026	0.178	0	0.954	NA	NA	0.107135312203534
313	0	0.714	0.751448704989268	0.232	0.730474703088389	0.548	NA	NA	0	0.388	0	0.954	NA	NA	0.745442310104579
100132406	0.581790580451526	0.48	0.511866436795606	0.428	NA	NA	NA	NA	NA	NA	0	0.954	NA	NA	0.775657361560568
