Cand_gene	GO_CC	GO_CC_pvalue	GO_MF	GO_MF_pvalue	GO_BP	GO_BP_pvalue	HPO	HPO_pvalue	MPO	MPO_pvalue	Pubmed	Pubmed_pvalue	Pathway	Pathway_pvalue	Overall_pvalue
1	9459	0.36522692976284	0.538	0.0834088767829053	0.472	0.957548877145094	0.224	0.950895118817797	0.09	0.99898023421598	0.052	1	0	0	0.206	0
2	1260	0.974265446998206	0.042	0.999982516199744	0	0.99914922639846	0.066	NA	NA	0.99972401957839	0.044	0	0.932	NA	NA	0
3	287	0.999594220802921	0.002	0.786537015846774	0.066	0.999999998987637	0.002	0.505909518404366	0.114	0.999936191568516	0.038	0.993962464184846	0.012	NA	NA	1.38373622715626e-06
5	50814	0.746327862133972	0.216	0.394582716620511	0.262	0.907570807473163	0.288	0.999999976644926	0.012	0.996732785038187	0.056	0	0.932	0	0.206	0.0248133652290194
8	26121	0.753408658241444	0.212	0.0832206463461149	0.502	0.812137851610931	0.346	0.998558668992556	0.046	0.282951138419481	0.274	0.918355389280752	0.05	0	0.206	0.0398142425244886
4	6434	0.589906572947493	0.4	0.0832440877593101	0.494	0.819956950092549	0.342	NA	NA	0.574500057054521	0.232	0.745245895459489	0.098	0	0.206	0.185968106730315
7	23269	0.768930616113772	0.198	0.0843669527972233	0.452	0.617385666727412	0.456	NA	NA	0.343437789350642	0.262	0.542025994045438	0.166	NA	NA	0.242830867254163
10	23148	0.403800753385115	0.532	NA	NA	0.926222445569598	0.278	NA	NA	0.53943118647578	0.238	0.457396274912647	0.216	NA	NA	0.282393158813387
6	4807	0.257776716104365	0.598	0.0837268170572319	0.456	0.834740559609706	0.334	NA	NA	0.99851162314165	0.052	0	0.932	NA	NA	0.36964524064613
11	51136	0.658925924804431	0.36	0.173484143086499	0.374	NA	NA	NA	NA	NA	NA	0	0.932	NA	NA	0.656230528855408
12	85379	NA	NA	NA	NA	NA	NA	NA	NA	0	0.344	0	0.932	NA	NA	0.685311169429922
13	644538	0.658925924804431	0.36	NA	NA	NA	NA	NA	NA	NA	NA	0	0.932	NA	NA	0.701932571792708
9	65065	0.112999539794667	0.638	0.0217975277475909	0.562	NA	NA	NA	NA	NA	NA	0	0.932	NA	NA	0.90120186315734
15	347442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.932	NA	NA	0.932
14	100133046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
